codigo_no_vigente,descripcion_no_vigente,accion,codigo_reemplazo,descripcion_reemplazo
012300,REAPERTURA DE CRANEOTOMIA SOD,REEMPLAZA A,012301,REAPERTURA DE CRANEOTOMIA
024100,IRRIGACION DE DERIVACION VENTRICULAR SOD,REEMPLAZA A,024101,IRRIGACION DE DERIVACION VENTRICULAR
025000,IMPLANTE DE CATETER (INTRAVENTRICULAR - INTRACISTICO) CON RESERVORIO SUBCUTANEO SOD,REEMPLAZA A,025001,IMPLANTE DE CATETER (INTRAVENTRICULAR - INTRACISTICO) CON RESERVORIO SUBCUTANEO
028100,LISIS DE ADHERENCIAS CORTICALES SOD,REEMPLAZA A,028101,LISIS DE ADHERENCIAS CORTICALES
038100,INYECCIONES NEUROLITICAS SUBARACNOIDEAS SOD,REEMPLAZA A,038101,INYECCIONES NEUROLITICAS SUBARACNOIDEAS
038200,NEUROLISIS DE RAICES ESPINALES SOD,REEMPLAZA A,038201,NEUROLISIS DE RAICES ESPINALES
039500,PARCHE HEMATICO EPIDURAL EN CANAL ESPINAL SOD,REEMPLAZA A,039501,PARCHE HEMATICO EPIDURAL EN CANAL ESPINAL
039700,REEMPLAZO - IRRIGACION O REVISION DE DERIVACION ESPINAL SOD,REEMPLAZA A,039701,REEMPLAZO - IRRIGACION O REVISION DE DERIVACION ESPINAL
039800,RETIRO DE DERIVACION ESPINAL SOD,REEMPLAZA A,039801,RETIRO DE DERIVACION ESPINAL
040500,GANGLIONECTOMIA DE GASSER SOD,REEMPLAZA A,040501,GANGLIONECTOMIA DE GASSER
041200,BIOPSIA ABIERTA DE NERVIO O GANGLIO PERIFERICO SOD,REEMPLAZA A,041201,BIOPSIA ABIERTA DE NERVIO O GANGLIO PERIFERICO
051100,BIOPSIA DE NERVIO O GANGLIO SIMPATICO SOD,REEMPLAZA A,051101,BIOPSIA DE NERVIO O GANGLIO SIMPATICO
052200,SIMPATECTOMIA CERVICAL SOD,REEMPLAZA A,052201,SIMPATECTOMIA CERVICAL
052300,SIMPATECTOMIA LUMBAR SOD,REEMPLAZA A,052301,SIMPATECTOMIA LUMBAR
052500,SIMPATECTOMIA PERIARTERIAL SOD,REEMPLAZA A,052501,SIMPATECTOMIA PERIARTERIAL
055200,DESCOMPRESION DE PLEJO O TRONCO (CERVICAL - LUMBAR O SACRO) SOD,REEMPLAZA A,055201,DESCOMPRESION DE PLEJO O TRONCO (CERVICAL - LUMBAR O SACRO)
069400,REIMPLANTE DE TEJIDO TIROIDEO (AUTOLOGO) SOD,REEMPLAZA A,069401,REIMPLANTE DE TEJIDO TIROIDEO (AUTOLOGO)
071300,BIOPSIA DE HIPOFISIS - VIA TRANSFRONTAL SOD,REEMPLAZA A,071301,BIOPSIA DE HIPOFISIS - VIA TRANSFRONTAL
071700,BIOPSIA DE GLANDULA PINEAL SOD,REEMPLAZA A,071701,BIOPSIA DE GLANDULA PINEAL
075300,ESCISION PARCIAL DE GLANDULA PINEAL SOD,REEMPLAZA A,075301,ESCISION PARCIAL DE GLANDULA PINEAL
075400,ESCISION TOTAL DE GLANDULA PINEAL [PINEALECTOMIA] SOD,REEMPLAZA A,075401,ESCISION TOTAL DE GLANDULA PINEAL [PINEALECTOMIA]
076100,ESCISION PARCIAL DE HIPOFISIS - VIA TRANSFRONTAL SOD,REEMPLAZA A,076101,ESCISION PARCIAL DE HIPOFISIS - VIA TRANSFRONTAL
076400,ESCISION TOTAL DE HIPOFISIS - VIA TRANSFRONTAL SOD,REEMPLAZA A,076401,ESCISION TOTAL DE HIPOFISIS - VIA TRANSFRONTAL
076500,ESCISION TOTAL DE HIPOFISIS - VIA TRANSESFENOIDAL SOD,REEMPLAZA A,076501,ESCISION TOTAL DE HIPOFISIS - VIA TRANSESFENOIDAL
088600,RITIDECTOMIA DE PARPADO INFERIOR SOD,REEMPLAZA A,088601,RITIDECTOMIA DE PARPADO INFERIOR
088700,RITIDECTOMIA DE PARPADO SUPERIOR SOD,REEMPLAZA A,088701,RITIDECTOMIA DE PARPADO SUPERIOR
117800,TERMOQUERATOPLASTIA SOD,REEMPLAZA A,117801,TERMOQUERATOPLASTIA
180100,DRENAJE DE COLECCION DE PABELLON AURICULAR SOD,REEMPLAZA A,180101,DRENAJE DE COLECCION DE PABELLON AURICULAR
180200,DRENAJE DE COLECCION DE CONDUCTO AUDITIVO EXTERNO SOD,REEMPLAZA A,180201,DRENAJE DE COLECCION DE CONDUCTO AUDITIVO EXTERNO
182100,RESECCION DE FISTULA O QUISTE PREAURICULAR SOD,REEMPLAZA A,182101,RESECCION DE FISTULA O QUISTE PREAURICULAR
182200,RESECCION DE APENDICE PREAURICULAR SOD,REEMPLAZA A,182201,RESECCION DE APENDICE PREAURICULAR
182300,RESECCION DE QUISTE DE PABELLON AURICULAR SOD,REEMPLAZA A,182301,RESECCION DE QUISTE DE PABELLON AURICULAR
184100,SUTURA DE LACERACION DE PABELLON AURICULAR SOD,REEMPLAZA A,184101,SUTURA DE LACERACION DE PABELLON AURICULAR
187200,REIMPLANTE DE AURICULA (PABELLON AURICULAR) SOD,REEMPLAZA A,187201,REIMPLANTE DE AURICULA (PABELLON AURICULAR)
199300,MASTOIDOPLASTIA SOD,REEMPLAZA A,199301,MASTOIDOPLASTIA
209100,REVISION DE MASTOIDECTOMIAS O MASTOIDOPLASTIAS SOD,REEMPLAZA A,209101,REVISION DE MASTOIDECTOMIAS O MASTOIDOPLASTIAS
231100,EXODONCIA QUIRURGICA UNIRRADICULAR SOD,REEMPLAZA A,231101,EXODONCIA QUIRURGICA UNIRRADICULAR
231200,EXODONCIA QUIRURGICA MULTIRRADICULAR SOD,REEMPLAZA A,231201,EXODONCIA QUIRURGICA MULTIRRADICULAR
231400,EXODONCIAS MULTIPLES CON ALVEOLOPLASTIA - POR CUADRANTE SOD,REEMPLAZA A,231401,EXODONCIAS MULTIPLES CON ALVEOLOPLASTIA - POR CUADRANTE
231500,COLGAJO DESPLAZADO PARA ABORDAJE DE DIENTE RETENIDO (VENTANA QUIRURGICA) SOD,REEMPLAZA A,231501,COLGAJO DESPLAZADO PARA ABORDAJE DE DIENTE RETENIDO (VENTANA QUIRURGICA)
232200,OBTURACION TEMPORAL POR DIENTE SOD,REEMPLAZA A,232201,OBTURACION TEMPORAL POR DIENTE
232300,COLOCACION DE PIN MILIMETRICO SOD,REEMPLAZA A,232301,COLOCACION DE PIN MILIMETRICO
235100,REIMPLANTE DE DIENTE SOD,REEMPLAZA A,235101,REIMPLANTE DE DIENTE
235200,TRASPLANTE DE DIENTE (INTENCIONAL) SOD,REEMPLAZA A,235201,TRASPLANTE DE DIENTE (INTENCIONAL)
236100,IMPLANTE ALOPLASTICO CERAMICO SOD,REEMPLAZA A,236101,IMPLANTE ALOPLASTICO CERAMICO
236200,IMPLANTE ALOPLASTICO METALICO SOD,REEMPLAZA A,236201,IMPLANTE ALOPLASTICO METALICO
237800,HEMISECCION DEL DIENTE SOD,REEMPLAZA A,237801,HEMISECCION DEL DIENTE
240200,DETARTRAJE SUBGINGIVAL SOD,REEMPLAZA A,240201,DETARTRAJE SUBGINGIVAL
240300,ALISADO RADICULAR - CAMPO CERRADO SOD,REEMPLAZA A,240301,ALISADO RADICULAR - CAMPO CERRADO
240400,DRENAJE DE COLECCION PERIODONTAL (CERRADO CON ALISADO RADICULAR) SOD,REEMPLAZA A,240401,DRENAJE DE COLECCION PERIODONTAL (CERRADO CON ALISADO RADICULAR)
241200,BIOPSIA DE PARED ALVEOLAR SOD,REEMPLAZA A,241201,BIOPSIA DE PARED ALVEOLAR
242300,PLASTIAS PREPROTESICAS (AUMENTO DE CORONA CLINICA) SOD,REEMPLAZA A,242301,PLASTIAS PREPROTESICAS (AUMENTO DE CORONA CLINICA)
242400,REPARACION O PLASTIA PERIODONTAL REGENERATIVA (INJERTOS - MEMBRANAS) SOD,REEMPLAZA A,242401,REPARACION O PLASTIA PERIODONTAL REGENERATIVA (INJERTOS - MEMBRANAS)
243400,GINGIVECTOMIA SOD,REEMPLAZA A,243401,GINGIVECTOMIA
245100,REGULARIZACION DE REBORDES SOD,REEMPLAZA A,245101,REGULARIZACION DE REBORDES
245200,ALVEOLECTOMIA SOD,REEMPLAZA A,245201,ALVEOLECTOMIA
247300,COLOCACION DE APARATOS DE RETENCION SOD,REEMPLAZA A,247301,COLOCACION DE APARATOS DE RETENCION
248100,CIERRE DE DIASTEMA (ALVEOLAR - DENTAL) SOD,REEMPLAZA A,248101,CIERRE DE DIASTEMA (ALVEOLAR - DENTAL)
248200,AJUSTAMIENTO OCLUSAL SOD,REEMPLAZA A,248201,AJUSTAMIENTO OCLUSAL
248400,REPARACION DE APARATOLOGIA FIJA O REMOVIBLE SOD,REEMPLAZA A,248401,REPARACION DE APARATOLOGIA FIJA O REMOVIBLE
249100,CONTROL DE HEMORRAGIA DENTAL POSQUIRURGICA SOD,REEMPLAZA A,249101,CONTROL DE HEMORRAGIA DENTAL POSQUIRURGICA
274400,RESECCION DE FOSETAS LABIALES SOD,REEMPLAZA A,274401,RESECCION DE FOSETAS LABIALES
275500,INJERTO DE PIEL DE GROSOR TOTAL APLICADO AL LABIO Y CAVIDAD BUCAL SOD,REEMPLAZA A,275501,INJERTO DE PIEL DE GROSOR TOTAL APLICADO AL LABIO Y CAVIDAD BUCAL
319500,FISTULIZACION TRAQUEOESOFAGICA SOD,REEMPLAZA A,319501,FISTULIZACION TRAQUEOESOFAGICA
359200,CREACION DE CONDUCTO ENTRE EL VENTRICULO DERECHO Y LA ARTERIA PULMONAR SOD,REEMPLAZA A,359201,CREACION DE CONDUCTO ENTRE EL VENTRICULO DERECHO Y LA ARTERIA PULMONAR
359300,CREACION DE CONDUCTO ENTRE EL VENTRICULO IZQUIERDO Y LA AORTA SOD,REEMPLAZA A,359301,CREACION DE CONDUCTO ENTRE EL VENTRICULO IZQUIERDO Y LA AORTA
360300,ANGIOPLASTIA DE ARTERIA CORONARIA CON TORAX ABIERTO SOD,REEMPLAZA A,360301,ANGIOPLASTIA DE ARTERIA CORONARIA CON TORAX ABIERTO
373200,ESCISION DE ANEURISMA DE CORAZON SOD,REEMPLAZA A,373201,ESCISION DE ANEURISMA DE CORAZON
373600,EXTRACCION DE CUERPO EXTRAÑO INTRACARDIACO SOD,REEMPLAZA A,373601,EXTRACCION DE CUERPO EXTRAÑO INTRACARDIACO
373700,EXTRACCION DE CUERPO EXTRAÑO INTRAPERICARDICO SOD,REEMPLAZA A,373701,EXTRACCION DE CUERPO EXTRAÑO INTRAPERICARDICO
374100,CARDIORRAFIA SOD,REEMPLAZA A,374101,CARDIORRAFIA
374200,REPARACION DE CORAZON POR RUPTURA POSTINFARTO SOD,REEMPLAZA A,374201,REPARACION DE CORAZON POR RUPTURA POSTINFARTO
374300,PERICARDIORRAFIA SOD,REEMPLAZA A,374301,PERICARDIORRAFIA
376100,IMPLANTACION DE BALON CONTRAPULSACION SOD,REEMPLAZA A,376101,IMPLANTACION DE BALON CONTRAPULSACION
376400,EXTRACCION O RETIRO DE SISTEMA DE ASISTENCIA CARDIACA SOD,REEMPLAZA A,376401,EXTRACCION O RETIRO DE SISTEMA DE ASISTENCIA CARDIACA
379100,MASAJE CARDIACO A TORAX ABIERTO SOD,REEMPLAZA A,379101,MASAJE CARDIACO A TORAX ABIERTO
379200,INYECCION DE SUSTANCIA TERAPEUTICA EN CORAZON SOD,REEMPLAZA A,379201,INYECCION DE SUSTANCIA TERAPEUTICA EN CORAZON
380500,TROMBOEMBOLECTOMIA EN VASOS ESPINALES SOD,REEMPLAZA A,380501,TROMBOEMBOLECTOMIA EN VASOS ESPINALES
381400,ENDARTERECTOMIA DE AORTA SOD,REEMPLAZA A,381401,ENDARTERECTOMIA DE AORTA
382200,ANGIOSCOPIA PERCUTANEA SOD,REEMPLAZA A,382201,ANGIOSCOPIA PERCUTANEA
384400,RESECCION CON SUSTITUCION DE AORTA ABDOMINAL SOD,REEMPLAZA A,384401,RESECCION CON SUSTITUCION DE AORTA ABDOMINAL
384500,RESECCION CON SUSTITUCION DE VASOS TORACICOS SOD,REEMPLAZA A,384501,RESECCION CON SUSTITUCION DE VASOS TORACICOS
384600,RESECCION CON SUSTITUCION DE ARTERIAS ABDOMINALES SOD,REEMPLAZA A,384601,RESECCION CON SUSTITUCION DE ARTERIAS ABDOMINALES
384700,RESECCION CON SUSTITUCION DE VENAS ABDOMINALES SOD,REEMPLAZA A,384701,RESECCION CON SUSTITUCION DE VENAS ABDOMINALES
386100,TOMA DE INJERTO ARTERIAL SOD,REEMPLAZA A,386101,TOMA DE INJERTO ARTERIAL
386200,TOMA DE INJERTO VENOSO SOD,REEMPLAZA A,386201,TOMA DE INJERTO VENOSO
387300,INSERCION DE IMPLANTE O FILTRO EN VENA CAVA (SUPERIOR O INFERIOR) SOD,REEMPLAZA A,387301,INSERCION DE IMPLANTE O FILTRO EN VENA CAVA (SUPERIOR O INFERIOR)
389200,CATETERISMO DE VENA UMBILICAL SOD,REEMPLAZA A,389201,CATETERISMO DE VENA UMBILICAL
389300,CATETERISMO O CANALIZACION DE VENA SOD,REEMPLAZA A,389301,CATETERISMO O CANALIZACION DE VENA
389400,DISECCION VENOSA SOD,REEMPLAZA A,389401,DISECCION VENOSA
389500,CATETERIZACION VENOSA PARA DIALISIS RENAL SOD,REEMPLAZA A,389501,CATETERIZACION VENOSA PARA DIALISIS RENAL
389900,FLEBOTOMIA TERAPEUTICA SOD,REEMPLAZA A,389901,FLEBOTOMIA TERAPEUTICA
392100,ANASTOMOSIS DE VENA CAVA-ARTERIA PULMONAR SOD,REEMPLAZA A,392101,ANASTOMOSIS DE VENA CAVA-ARTERIA PULMONAR
392400,DERIVACION AORTA-RENAL SOD,REEMPLAZA A,392401,DERIVACION AORTA-RENAL
393600,SUTURA DE ARTERIAS ABDOMINALES SOD,REEMPLAZA A,393601,SUTURA DE ARTERIAS ABDOMINALES
393700,SUTURA DE VENAS ABDOMINALES SOD,REEMPLAZA A,393701,SUTURA DE VENAS ABDOMINALES
394100,CONTROL DE HEMORRAGIA DESPUES DE CIRUGIA VASCULAR SOD,REEMPLAZA A,394101,CONTROL DE HEMORRAGIA DESPUES DE CIRUGIA VASCULAR
394200,REVISION DE DERIVACION (FISTULA) ARTERIOVENOSA PARA DIALISIS RENAL SOD,REEMPLAZA A,394201,REVISION DE DERIVACION (FISTULA) ARTERIOVENOSA PARA DIALISIS RENAL
394300,EXTRACCION DE DERIVACION ARTERIOVENOSA PARA DIALISIS RENAL SOD,REEMPLAZA A,394301,EXTRACCION DE DERIVACION ARTERIOVENOSA PARA DIALISIS RENAL
395400,OPERACION DE RE-ENTRADA (AORTA) SOD,REEMPLAZA A,395401,OPERACION DE RE-ENTRADA (AORTA)
395600,REPARACION DE VASO SANGUINEO CON INJERTO DE PARCHE DE TEJIDO SOD,REEMPLAZA A,395601,REPARACION DE VASO SANGUINEO CON INJERTO DE PARCHE DE TEJIDO
395700,REPARACION DE VASO SANGUINEO CON INJERTO DE PARCHE SINTETICO SOD,REEMPLAZA A,395701,REPARACION DE VASO SANGUINEO CON INJERTO DE PARCHE SINTETICO
395800,REPARACION DE VASO SANGUINEO CON INJERTO DE PARCHE NO ESPECIFICADO SOD,REEMPLAZA A,395801,REPARACION DE VASO SANGUINEO CON INJERTO DE PARCHE NO ESPECIFICADO
396100,CIRCULACION EXTRACORPOREA AUXILIAR PARA CIRUGIA CARDIACA ABIERTA [DERIVACION CARDIOPULMONAR] SOD,REEMPLAZA A,396101,CIRCULACION EXTRACORPOREA AUXILIAR PARA CIRUGIA CARDIACA ABIERTA [DERIVACION CARDIOPULMONAR]
396200,HIPOTERMIA (SISTEMICA) ACCESORIA DE CIRUGIA CARDIACA ABIERTA SOD,REEMPLAZA A,396201,HIPOTERMIA (SISTEMICA) ACCESORIA DE CIRUGIA CARDIACA ABIERTA
397400,EXPLORACION DE AORTA ABDOMINAL SOD,REEMPLAZA A,397401,EXPLORACION DE AORTA ABDOMINAL
397700,EXPLORACION DE VENAS ABDOMINALES SOD,REEMPLAZA A,397701,EXPLORACION DE VENAS ABDOMINALES
398100,IMPLANTACION EN CUERPO CAROTIDEO DE MARCAPASOS O ESTIMULADOR ELECTRONICO SOD,REEMPLAZA A,398101,IMPLANTACION EN CUERPO CAROTIDEO DE MARCAPASOS O ESTIMULADOR ELECTRONICO
399100,LIBERACION DE VASO SANGUINEO (ADHERENCIAS DE HAZ VASCULAR) SOD,REEMPLAZA A,399101,LIBERACION DE VASO SANGUINEO (ADHERENCIAS DE HAZ VASCULAR)
399200,INYECCION DE AGENTE ESCLEROSANTE EN VENA (ESCLEROTERAPIA) SOD,REEMPLAZA A,399201,INYECCION DE AGENTE ESCLEROSANTE EN VENA (ESCLEROTERAPIA)
399400,SUSTITUCION O REVISION DE CANULA VASO A VASO SOD,REEMPLAZA A,399401,SUSTITUCION O REVISION DE CANULA VASO A VASO
402400,ESCISION DE GANGLIO LINFATICO INGUINAL SOD,REEMPLAZA A,402401,ESCISION DE GANGLIO LINFATICO INGUINAL
402500,ESCISION DE HIGROMA QUISTICO DE CUELLO SOD,REEMPLAZA A,402501,ESCISION DE HIGROMA QUISTICO DE CUELLO
402600,ESCISION DE LINFANGIOMA DE CUELLO SOD,REEMPLAZA A,402601,ESCISION DE LINFANGIOMA DE CUELLO
403000,ESCISION DE GANGLIO LINFATICO REGIONAL EXTENDIDA AL AREA DE DRENAJE LINFATICO - INCLUSO PIEL Y TEJIDO CELULAR SUBCUTANEO SOD,REEMPLAZA A,403001,ESCISION DE GANGLIO LINFATICO REGIONAL EXTENDIDA AL AREA DE DRENAJE LINFATICO - INCLUSO PIEL Y TEJIDO CELULAR SUBCUTANEO
406200,FISTULIZACION DE CONDUCTO TORACICO SOD,REEMPLAZA A,406201,FISTULIZACION DE CONDUCTO TORACICO
406300,CIERRE DE FISTULA DEL CONDUCTO TORACICO SOD,REEMPLAZA A,406301,CIERRE DE FISTULA DEL CONDUCTO TORACICO
406500,DERIVACION LINFOVENOSA SOD,REEMPLAZA A,406501,DERIVACION LINFOVENOSA
406600,LIGADURA (OBLITERACION) EN EL AREA ILIACA SOD,REEMPLAZA A,406601,LIGADURA (OBLITERACION) EN EL AREA ILIACA
407200,LINFANGIORRAFIA SOD,REEMPLAZA A,407201,LINFANGIORRAFIA
407300,LINFANGIOPLASTIA SOD,REEMPLAZA A,407301,LINFANGIOPLASTIA
407400,TRASPLANTE DE LINFATICOS AUTOGENOS SOD,REEMPLAZA A,407401,TRASPLANTE DE LINFATICOS AUTOGENOS
419100,ASPIRACION DE MEDULA OSEA DE DONANTE SOD,REEMPLAZA A,419101,ASPIRACION DE MEDULA OSEA DE DONANTE
419200,INYECCION O INFUSION DE MEDULA OSEA SOD,REEMPLAZA A,419201,INYECCION O INFUSION DE MEDULA OSEA
427200,ESOFAGOTOMIA TRANSTORACICA CON MIOTOMIA SOD,REEMPLAZA A,427201,ESOFAGOTOMIA TRANSTORACICA CON MIOTOMIA
427300,ESOFAGOTOMIA CON MIOTOMIA EN ESPIRAL SOD,REEMPLAZA A,427301,ESOFAGOTOMIA CON MIOTOMIA EN ESPIRAL
428100,INSERCION DE TUBO O PROTESIS (STENT) PERMANENTE EN ESOFAGO SOD,REEMPLAZA A,428101,INSERCION DE TUBO O PROTESIS (STENT) PERMANENTE EN ESOFAGO
428300,CIERRE DE ESOFAGOSTOMIA SOD,REEMPLAZA A,428301,CIERRE DE ESOFAGOSTOMIA
428500,REPARACION DE ESTENOSIS ESOFAGICA SOD,REEMPLAZA A,428501,REPARACION DE ESTENOSIS ESOFAGICA
428600,CREACION DE TUNEL SUBCUTANEO SIN ANASTOMOSIS ESOFAGICA SOD,REEMPLAZA A,428601,CREACION DE TUNEL SUBCUTANEO SIN ANASTOMOSIS ESOFAGICA
441200,GASTROSCOPIA A TRAVES DE ESTOMA ARTIFICIAL SOD,REEMPLAZA A,441201,GASTROSCOPIA A TRAVES DE ESTOMA ARTIFICIAL
451100,ENDOSCOPIA TRANSABDOMINAL DE INTESTINO DELGADO SOD,REEMPLAZA A,451101,ENDOSCOPIA TRANSABDOMINAL DE INTESTINO DELGADO
451200,ENDOSCOPIA DE INTESTINO DELGADO A TRAVES DE ESTOMA ARTIFICIAL SOD,REEMPLAZA A,451201,ENDOSCOPIA DE INTESTINO DELGADO A TRAVES DE ESTOMA ARTIFICIAL
453100,OTRA ELIMINACION O ESCISION DE LESION DE DUODENO SOD,REEMPLAZA A,453101,OTRA ELIMINACION O ESCISION DE LESION DE DUODENO
456400,RESECCION INTESTINAL CONDUCTO ONFALOMESENTERICO SOD,REEMPLAZA A,456401,RESECCION INTESTINAL CONDUCTO ONFALOMESENTERICO
463200,YEYUNOSTOMIA PERCUTANEA (ENDOSCOPICA) SOD,REEMPLAZA A,463201,YEYUNOSTOMIA PERCUTANEA (ENDOSCOPICA)
466200,PLICATURA INTESTINAL [OPERACION DE NOBLE] SOD,REEMPLAZA A,466201,PLICATURA INTESTINAL [OPERACION DE NOBLE]
469100,MIOTOMIA DEL COLON SIGMOIDEO SOD,REEMPLAZA A,469101,MIOTOMIA DEL COLON SIGMOIDEO
469200,MIOTOMIA DE OTRAS PARTES DEL COLON SOD,REEMPLAZA A,469201,MIOTOMIA DE OTRAS PARTES DEL COLON
469500,PERFUSION LOCAL DE INTESTINO DELGADO SOD,REEMPLAZA A,469501,PERFUSION LOCAL DE INTESTINO DELGADO
469600,PERFUSION LOCAL DE INTESTINO GRUESO SOD,REEMPLAZA A,469601,PERFUSION LOCAL DE INTESTINO GRUESO
480100,PROCTOTOMIA - VIA ABDOMINAL O PERINEAL SOD,REEMPLAZA A,480101,PROCTOTOMIA - VIA ABDOMINAL O PERINEAL
482600,BIOPSIA DE TEJIDO PERIRRECTAL SOD,REEMPLAZA A,482601,BIOPSIA DE TEJIDO PERIRRECTAL
486500,RESECCION DE MUÑON RECTAL POST-DUHAMEL SOD,REEMPLAZA A,486501,RESECCION DE MUÑON RECTAL POST-DUHAMEL
489100,INCISION DE ESTENOSIS RECTAL SOD,REEMPLAZA A,489101,INCISION DE ESTENOSIS RECTAL
489200,MIOMECTOMIA ANO-RECTAL SOD,REEMPLAZA A,489201,MIOMECTOMIA ANO-RECTAL
489400,DILATACION INSTRUMENTAL ENDOSCOPICA DE RECTO SOD,REEMPLAZA A,489401,DILATACION INSTRUMENTAL ENDOSCOPICA DE RECTO
490100,DRENAJE DE COLECCION ISQUIORRECTAL SOD,REEMPLAZA A,490101,DRENAJE DE COLECCION ISQUIORRECTAL
492200,BIOPSIA DE TEJIDO PERIANAL SOD,REEMPLAZA A,492201,BIOPSIA DE TEJIDO PERIANAL
492300,BIOPSIA DE ANO SOD,REEMPLAZA A,492301,BIOPSIA DE ANO
494300,CAUTERIZACION DE HEMORROIDES SOD,REEMPLAZA A,494301,CAUTERIZACION DE HEMORROIDES
494400,ABLACION DE HEMORROIDES POR CRIOTERAPIA SOD,REEMPLAZA A,494401,ABLACION DE HEMORROIDES POR CRIOTERAPIA
499100,INCISION DE TABIQUE ANAL SOD,REEMPLAZA A,499101,INCISION DE TABIQUE ANAL
499200,INSERCION SUBCUTANEA DE ESTIMULADOR ANAL ELECTRICO SOD,REEMPLAZA A,499201,INSERCION SUBCUTANEA DE ESTIMULADOR ANAL ELECTRICO
499400,REDUCCION DE PROLAPSO ANAL SOD,REEMPLAZA A,499401,REDUCCION DE PROLAPSO ANAL
499500,CONTROL DE HEMORRAGIA (POSOPERATORIA) DE ANO SOD,REEMPLAZA A,499501,CONTROL DE HEMORRAGIA (POSOPERATORIA) DE ANO
499600,RETIRO DE MATERIAL DE CERCLAJE SOD,REEMPLAZA A,499601,RETIRO DE MATERIAL DE CERCLAJE
506200,HEPATOPEXIA SOD,REEMPLAZA A,506201,HEPATOPEXIA
509200,ASISTENCIA HEPATICA EXTRACORPOREA SOD,REEMPLAZA A,509201,ASISTENCIA HEPATICA EXTRACORPOREA
509300,PERFUSION LOCALIZADA DE HIGADO SOD,REEMPLAZA A,509301,PERFUSION LOCALIZADA DE HIGADO
509400,INYECCION DE SUSTANCIA TERAPEUTICA EN HIGADO SOD,REEMPLAZA A,509401,INYECCION DE SUSTANCIA TERAPEUTICA EN HIGADO
511000,COLANGIOPANCREATOGRAFIA RETROGRADA ENDOSCOPICA SOD,REEMPLAZA A,511001,COLANGIOPANCREATOGRAFIA RETROGRADA ENDOSCOPICA
511500,MEDICION DE LA PRESION DEL ESFINTER DE ODDI SOD,REEMPLAZA A,511501,MEDICION DE LA PRESION DEL ESFINTER DE ODDI
519100,REPARACION DE LESION DE VESICULA BILIAR SOD,REEMPLAZA A,519101,REPARACION DE LESION DE VESICULA BILIAR
519700,INSERCION DE CATETER BILIAR SOD,REEMPLAZA A,519701,INSERCION DE CATETER BILIAR
544200,ONFALECTOMIA SOD,REEMPLAZA A,544201,ONFALECTOMIA
546200,CIERRE RETARDADO DE HERIDA ABDOMINAL EN FASE DE GRANULACION SOD,REEMPLAZA A,546201,CIERRE RETARDADO DE HERIDA ABDOMINAL EN FASE DE GRANULACION
549300,CREACION DE FISTULA CUTANEOPERITONEAL SOD,REEMPLAZA A,549301,CREACION DE FISTULA CUTANEOPERITONEAL
549600,INYECCION DE AIRE EN CAVIDAD PERITONEAL SOD,REEMPLAZA A,549601,INYECCION DE AIRE EN CAVIDAD PERITONEAL
549700,INYECCION DE SUSTANCIA TERAPEUTICA DE ACCION LOCAL EN CAVIDAD PERITONEAL SOD,REEMPLAZA A,549701,INYECCION DE SUSTANCIA TERAPEUTICA DE ACCION LOCAL EN CAVIDAD PERITONEAL
559300,REEMPLAZO DE CATETER DE NEFROSTOMIA SOD,REEMPLAZA A,559301,REEMPLAZO DE CATETER DE NEFROSTOMIA
559400,REEMPLAZO DE CATETER DE PIELOSTOMIA SOD,REEMPLAZA A,559401,REEMPLAZO DE CATETER DE PIELOSTOMIA
559500,PERFUSION LOCAL DE RIÑON SOD,REEMPLAZA A,559501,PERFUSION LOCAL DE RIÑON
573500,BIOPSIA DE TEJIDO PERIVESICAL SOD,REEMPLAZA A,573501,BIOPSIA DE TEJIDO PERIVESICAL
578600,REPARACION DE EXTROFIA VESICAL SOD,REEMPLAZA A,578601,REPARACION DE EXTROFIA VESICAL
579200,DILATACION DE CUELLO VESICAL SOD,REEMPLAZA A,579201,DILATACION DE CUELLO VESICAL
584200,CIERRE DE URETROSTOMIA SOD,REEMPLAZA A,584201,CIERRE DE URETROSTOMIA
584700,MEATOPLASTIA URETRAL SOD,REEMPLAZA A,584701,MEATOPLASTIA URETRAL
586200,DILATACION DE UNION URETROVESICAL SOD,REEMPLAZA A,586201,DILATACION DE UNION URETROVESICAL
586300,DILATACION DE URETRA POR SONDEO SOD,REEMPLAZA A,586301,DILATACION DE URETRA POR SONDEO
589200,ESCISION DE TEJIDO PERIURETRAL SOD,REEMPLAZA A,589201,ESCISION DE TEJIDO PERIURETRAL
590200,URETEROLISIS CON LIBERACION O REPOSICIONAMIENTO DE URETER SOD,REEMPLAZA A,590201,URETEROLISIS CON LIBERACION O REPOSICIONAMIENTO DE URETER
590400,INCISION Y DRENAJE DE COLECCION PERIRRENAL SOD,REEMPLAZA A,590401,INCISION Y DRENAJE DE COLECCION PERIRRENAL
590500,DRENAJE PERCUTANEO DE COLECCION EN AREA PERIRRENAL SOD,REEMPLAZA A,590501,DRENAJE PERCUTANEO DE COLECCION EN AREA PERIRRENAL
591100,LIBERACION O LISIS DE ADHERENCIAS PERIVESICALES SOD,REEMPLAZA A,591101,LIBERACION O LISIS DE ADHERENCIAS PERIVESICALES
593100,PLICATURA URETRAL SOD,REEMPLAZA A,593101,PLICATURA URETRAL
