codigo,nombre,capitulo,vigente
015103,ESCISIÓN DE LESIÓN CRANEAL,CapItulo 01 SISTEMA NERVIOSO,1
015104,CORRECCIÓN DE DISPLASIA FIBROSA DEL CRÁNEO POR CRANIECTOMÍA,CapItulo 01 SISTEMA NERVIOSO,1
015201,RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA ANTERIOR VÍA CRANEOFACIAL ANTERIOR,CapItulo 01 SISTEMA NERVIOSO,1
015202,RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO- FOSA ANTERIOR- VÍA CRANEOFACIAL ANTEROLATERAL,CapItulo 01 SISTEMA NERVIOSO,1
015203,RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO- FOSA ANTERIOR- VÍA ANTEROLATERAL Y RINOTOMÍA LATERAL,CapItulo 01 SISTEMA NERVIOSO,1
015204,RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO- FOSA ANTERIOR- VÍA TRANSCIGOMÁTICA Y TRANSPALATAL,CapItulo 01 SISTEMA NERVIOSO,1
015205,RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO- FOSA ANTERIOR,CapItulo 01 SISTEMA NERVIOSO,1
015206,RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA ANTERIOR VÍA ENDONASAL (EXTENDIDA),CapItulo 01 SISTEMA NERVIOSO,1
015301,RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA MEDIA POR CRANEOTOMÍA FRONTAL Y OSTEOTOMÍA FRONTO ETMOIDAL,CapItulo 01 SISTEMA NERVIOSO,1
015302,RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA MEDIA POR ABORDAJE TRANSMAXILAR,CapItulo 01 SISTEMA NERVIOSO,1
015303,RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA MEDIA POR CRANEOTOMÍA GUIADA POR ESTEREOTAXIA,CapItulo 01 SISTEMA NERVIOSO,1
015304,RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA MEDIA VÍA SUBTEMPORAL Y OSTEOTOMÍA ZIGOMÁTICA,CapItulo 01 SISTEMA NERVIOSO,1
015305,RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA MEDIA VÍA SUBFRONTAL EXTENDIDA,CapItulo 01 SISTEMA NERVIOSO,1
015306,RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA MEDIA VÍA SUBTEMPORAL,CapItulo 01 SISTEMA NERVIOSO,1
015307,RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA MEDIA VÍA PREAURICULAR INFRATENTORIAL Y CERVICOTOMÍA,CapItulo 01 SISTEMA NERVIOSO,1
