codigo_cups,codigo_soat,descripcion_soat,clase,cobertura,uvb,valor_pesos
015301,1126,CRANEOTOMIA PARA RESECCION DE TUMORES DE FOSA MEDIA,GRUPO,POS,20,3572100
015302,1126,CRANEOTOMIA PARA RESECCION DE TUMORES DE FOSA MEDIA,GRUPO,POS,20,3572100
015303,1126,CRANEOTOMIA PARA RESECCION DE TUMORES DE FOSA MEDIA,GRUPO,POS,20,3572100
015304,1126,CRANEOTOMIA PARA RESECCION DE TUMORES DE FOSA MEDIA,GRUPO,POS,20,3572100
015305,1126,CRANEOTOMIA PARA RESECCION DE TUMORES DE FOSA MEDIA,GRUPO,POS,20,3572100
015306,1126,CRANEOTOMIA PARA RESECCION DE TUMORES DE FOSA MEDIA,GRUPO,POS,20,3572100
015307,1126,CRANEOTOMIA PARA RESECCION DE TUMORES DE FOSA MEDIA,GRUPO,POS,20,3572100
015308,1126,CRANEOTOMIA PARA RESECCION DE TUMORES DE FOSA MEDIA,GRUPO,POS,20,3572100
015309,1126,CRANEOTOMIA PARA RESECCION DE TUMORES DE FOSA MEDIA,GRUPO,POS,20,3572100
015310,1126,CRANEOTOMIA PARA RESECCION DE TUMORES DE FOSA MEDIA,GRUPO,POS,20,3572100
015311,1126,CRANEOTOMIA PARA RESECCION DE TUMORES DE FOSA MEDIA,GRUPO,POS,20,3572100
015313,1126,CRANEOTOMIA PARA RESECCION DE TUMORES DE FOSA MEDIA,GRUPO,POS,20,3572100
015314,,RESECCION DE TUMOR O LESION DE LA BASE DEL CRANEO FOSA INFRATEMPORAL TRANSPTERIGOIDEA,,POS,,
015401,1127,CRANEOTOMIA PARA RESECCION DE TUMORES DE FOSA POSTERIOR,GRUPO,POS,21,4300600
015402,1127,CRANEOTOMIA PARA RESECCION DE TUMORES DE FOSA POSTERIOR,GRUPO,POS,21,4300600
015403,1127,CRANEOTOMIA PARA RESECCION DE TUMORES DE FOSA POSTERIOR,GRUPO,POS,21,4300600
015404,1127,CRANEOTOMIA PARA RESECCION DE TUMORES DE FOSA POSTERIOR,GRUPO,POS,21,4300600
015405,1127,CRANEOTOMIA PARA RESECCION DE TUMORES DE FOSA POSTERIOR,GRUPO,POS,21,4300600
015406,1127,CRANEOTOMIA PARA RESECCION DE TUMORES DE FOSA POSTERIOR,GRUPO,POS,21,4300600
015407,1127,CRANEOTOMIA PARA RESECCION DE TUMORES DE FOSA POSTERIOR,GRUPO,POS,21,4300600
015408,1127,CRANEOTOMIA PARA RESECCION DE TUMORES DE FOSA POSTERIOR,GRUPO,POS,21,4300600
015409,1127,CRANEOTOMIA PARA RESECCION DE TUMORES DE FOSA POSTERIOR,GRUPO,POS,21,4300600
015410,1127,CRANEOTOMIA PARA RESECCION DE TUMORES DE FOSA POSTERIOR,GRUPO,POS,21,4300600
015411,1127,CRANEOTOMIA PARA RESECCION DE TUMORES DE FOSA POSTERIOR,GRUPO,POS,21,4300600
015412,1127,CRANEOTOMIA PARA RESECCION DE TUMORES DE FOSA POSTERIOR,GRUPO,POS,21,4300600
015501,,TOMA DE INJERTO OSEO DE CRANEO,,POS,,
015502,,RESECCION DE TEJIDO CRANEAL,,POS,,
016101,1144,EXTIRPACION DE LESION Y/O TEJIDO DE LAS MENINGES CEREBRALES,GRUPO,POS,20,3572100
016102,1162,CRANEOPLASTIA PARA CORRECCION DE DEFECTO POR RESECCION DEL TUMOR OSEO O INFECCION,GRUPO,POS,20,3572100
016102,1144,EXTIRPACION DE LESION Y/O TEJIDO DE LAS MENINGES CEREBRALES,GRUPO,POS,20,3572100
016102,1352,INJERTO DURAL,GRUPO,POS,20,3572100
016103,1144,EXTIRPACION DE LESION Y/O TEJIDO DE LAS MENINGES CEREBRALES,GRUPO,POS,20,3572100
016201,1162,CRANEOPLASTIA PARA CORRECCION DE DEFECTO POR RESECCION DEL TUMOR OSEO O INFECCION,GRUPO,POS,20,3572100
016201,1144,EXTIRPACION DE LESION Y/O TEJIDO DE LAS MENINGES CEREBRALES,GRUPO,POS,20,3572100
016202,1132,CRANEOTOMIA PARA TUMORES DE HOZ DE CEREBRO,GRUPO,POS,20,3572100
016301,1144,EXTIRPACION DE LESION Y/O TEJIDO DE LAS MENINGES CEREBRALES,GRUPO,POS,20,3572100
016302,1144,EXTIRPACION DE LESION Y/O TEJIDO DE LAS MENINGES CEREBRALES,GRUPO,POS,20,3572100
016401,1150,PUNCION ESTEREOTAXICA DE QUISTES - ABCESOS Y HEMATOMAS INTRACRANEANOS,GRUPO,POS,20,3572100
