codigo_iss,clase,codigo_cups,descripcion,tipo_valor,uvr,valor_pesos
25178,,373401,"ABLACION CON CATETER DE LESION O TEJIDO DEL CORAZON, POR CRIOCIRUGIA O ELECTROCOAGULACION (259) (330) EXCLUYE: el estudio electrofisiológico; mapeo en cirugía de corazón abierto (330)",PESOS,,727120
25178,,373402,ABLACION CON CATETER DE LESION O TEJIDO DEL CORAZON POR RADIOFRECUENCIA (259) (330),PESOS,,727120
25179,,894103,PRUEBA DE MESA BASCULANTE,PESOS,,180470
25182,,895910,PRUEBAS DE FUNCION AUTONOMICA (260) tarifa incluye la monitoría electrofisiológica (260),PESOS,,179630
M25111,PB,895300,"VECTOCARDIOGRAMA (CON ECG) SOD * * SOD: Otra Denominación pinza para biopsia endomiocárdica, prótesis endovasculares y filtros, electrodos de uso en la prueba ergométrica y el papel polígrafo en el estudio electrofisiológico, se podrán facturar adicional la tarifa del respectivo estudio o procedimiento. este concepto pagará adicional la suma de $ 88.565 895801), realice como complemento de otro de los relacionados en este Artículo, su valor no podrá objeto de adición sobre la tarifa determinada en el Manual para el estudio practicado; su facturación sólo procede en el caso que con fines diagnósticos sea el único que se efectúe. procedimientos intervencionistas o invasivos de hemodinamia y electrofisiología, distintos a los códigos 895001, 895201, 378500 y 379500, se pagará por el derecho a su utilización, incluidos la totalidad los componentes determinados en el Artículo 77 para la sala de procedimientos especial, excepción del balón de contrapulsación, una suma igual al sesenta por ciento (60%) la tarifa establecida para el procedimiento efectuado. Cuando el procedimiento se realice en forma bilateral múltiple en el mismo acto, el porcentaje anterior no tiene ningún incremento adicional en el múltiple se aplicará al procedimiento con tarifa superior. tarifas:",PESOS,,49035
26101,PB,891401,ELECTROENCEFALOGRAMA CONVENCIONAL,PESOS,,19960
26103,,891402,ELECTROENCEFALOGRAMA COMPUTARIZADO (261) APLICA: para equipos de 16 y más canales (261),PESOS,,25265
26105,PB,053101,BLOQUEO DE NERVIO SIMPATICO UNICO (65) APLICA: para la practica de ANESTÉSIA (65),PESOS,,31010
26105,PB,053114,"BLOQUEO SIMPATICO REGIONAL (CERVICAL, TORACCICO O LUMBAR) (659",PESOS,,31010
26105,PB,053121,INYECCION DE GANGLIO SIMPATICO CILIAL (65),PESOS,,31010
26106,PB,053104,BLOQUEO DE SENO CAROTIDEO (65),PESOS,,31010
26107,PB,053110,BLOQUEO DE NERVIO VAGO (65),PESOS,,31010
26108,PB,053113,BLOQUEO REGIONAL (65),PESOS,,34715
26109,PB,039003,INSERCION DE CATETER SUBARACNOIDEO EN CANAL ESPINAL PARA INFUSION DE SUSTANCIA TERAPEUTICA O PALIATIVA,PESOS,,53220
26109,PB,039004,INSERCION DE CATETER SUBARACNOIDEO EN CANAL ESPINAL CON PUERTA DE ENTRADA IMPLANTABLE PARA INFUSION DE SUSTANCIA TERAPEUTICA O PALIATIVA,PESOS,,53220
26110,PB,048300,INYECCION DE ANESTESIA EN NERVIO DE FACETA ARTICULAR VERTEBRAL CON FINES ANALGESICOS SOD,PESOS,,31010
26110,PB,053102,BLOQUEO DE PLEJO BRAQUIAL (65) APLICA: para la practica de ANESTÉSIA (65),PESOS,,31010
26110,PB,053103,BLOQUEO DE PLEJO LUMBOSACRO (65),PESOS,,31010
26111,PB,053106,BLOQUEO PARACERVICAL BILATERAL (65),PESOS,,62010
26112,PB,053107,BLOQUEO DE NERVIO FRENICO (65),PESOS,,31010
26113,PB,053108,BLOQUEO DE PLEJO CELIACO (65),PESOS,,43505
26113,PB,053115,BLOQUEO DEL SIMPATICO PRESACRO ( GANGLIO IMPAR DE WALTER) (65),PESOS,,43505
26114,,048100,INYECCION DE ANESTESIA DENTRO DE NERVIO CRANEAL CON FINES ANALGESICOS SOD,PESOS,,44420
26114,PB,048101,BLOQUEO DE NERVIO TRIGEMINAL O ESFENOPALATINO (65),PESOS,,44420
26115,,053111,BLOQUEO DEL NERVIO HIPOGASTRICO SUPERIOR (65),PESOS,,50960
26116,,053112,BLOQUEO DE NERVIO ESPLACNICO (65),PESOS,,44740
26117,PB,891701,ESTUDIO FISIOLOGICO DEL SUEÑO (ESTUDIO POLISOMNOGRAFICO SIN OXIMETRIA),PESOS,,381950
26118,PB,891501,ELECTROCORTICOGRAFIA,PESOS,,64530
26119,,895400,MONITORIZACION ELECTROCARDIOGRAFICA (TELEMETRIA) SOD (373) Tarifa por paciente (373),PESOS,,60795
26120,,891512,TRIPLES CAROTIDEOS,PESOS,,108490
26121,,891703,POLISOMNOGRAMA EN TITULACION DE CPAP NASAL (263),PESOS,,655555
26122,PB,891702,ESTUDIO POLISOMNOGRAFICO COMPLETO (CON OXIMETRIA),PESOS,,426045
26123,,039100,INYECCION DE ANESTESICO EN EL CANAL ESPINAL SOD (65) APLICA: para la practica de ANESTÉSIA (65),PESOS,,15835
26124,,891410,ELECTROENCEFALOGRAMA DIGITAL CON MAPEO CEREBRAL puede ser inferior a 20 minutos. siguientes tarifas:,PESOS,,171360
27101,PB,E27101,AUDIOMETRÍA DE BEKESY,PESOS,,13850
27102,PB,954107,AUDIOMETRÍA DE TONOS PUROS AÉREOS Y ÓSEOS CON EMASCARAMIENTO [AUDIOMETRIA TONAL],PESOS,,10600
27103,PB,954301,LOGOAUDIOMETRÍA (121) (265) discriminación del habla. (121),PESOS,,10600
27105,PB,954103,AUDIOMETRÍA POR REFUERZO VISUAL (VRA),PESOS,,10600
27106,PB,954313,PRUEBAS DE RECLUTAMIENTO (266) Tarifa por cada una (266),PESOS,,6565
27107,PB,954314,PRUEBAS DE FATIGA ACÚSTICA (266),PESOS,,6565
27110,PB,220100,PUNCION DE SENO MAXILAR [ASPIRACION O LAVADO] SOD,PESOS,,10365
27111,PB,954302,IMITANCIA ACÚSTICA [IMPEDANCIOMETRIA],PESOS,,7175
27113,PB,954603,PROETZ ( DESPLAZAMIENTO) (266) Tarifa por cada una (266),PESOS,,4245
27114,PB,E27114,ACUFENOMETRÍA (INHIBICIÓN RESIDUAL),PESOS,,7175
27115,PB,891201,RINOMANOMETRIA SIMPLE,PESOS,,14340
27116,PB,965200,LAVADO E IRRIGACION DE OIDOS SOD,PESOS,,7175
27117,PB,202400,ASPIRACION DE OIDO MEDIO O CAVIDAD MASTOIDEA SOD,PESOS,,23315
27118,PB,M27117,VALORACIÓN ELÉCTRICA DE NERVIO FACIAL (PRUEBA DE HILGER),PESOS,,12625
27119,PB,981100,EXTRACCION SIN INCISION DE CUERPO EXTRAÑO DE CONDUCTO AUDITIVO EXTERNO SOD,PESOS,,29075
27120,PB,981200,EXTRACCION SIN INCISION CUERPO EXTRAÑO INTRALUMINAL DE LA NARIZ SOD,PESOS,,29075
27121,PB,210100,"CONTROL DE EPISTAXIS, POR TAPONAMIENTO NASAL ANTERIOR O CAUTERIZACIÓN DE MUCOSA NASAL SOD",PESOS,,20490
